event_id,provider_id,event_type,timestamp,success,latency_ms,data_size_gb
evt_0_66756,0x42e76d8c5cbc05b8ac18ddc92f1098b34fcf0136,post_challenge,2025-11-16T09:29:13.670491,True,257.84,0
evt_0_67558,0x4902e8ba01ba330ce36e6ada755e84eadff28122,post_challenge,2025-11-16T03:25:13.670491,False,339.25,0
evt_0_51221,0x0fe1512a542cdb73fb8dc077f76f70b674b3fa3d,post_challenge,2025-11-16T10:35:13.670491,True,269.49,0
evt_0_78653,0x28974534b49bfafa11d29eb9647959b5ca82c035,post_challenge,2025-11-16T03:50:13.670491,False,640.71,0
evt_0_42721,0x55b20a1f90919984845c72a94eedf1bcbea8578f,heartbeat,2025-11-16T03:49:13.670491,True,535.5,0
evt_0_28582,0xddb8a480eb4f4be7e7ead9ea77f9415dba395a77,post_challenge,2025-11-16T22:10:13.670491,False,214.83,0
evt_0_54099,0x33553f18565b8750cc2e5bc2f387c5fc84812eb3,post_challenge,2025-11-16T02:51:13.670491,True,235.6,0
evt_0_50316,0x56610e7cf27734777cf1baea22edc450c6083400,post_challenge,2025-11-16T06:59:13.670491,True,277.65,0
evt_0_87485,0xcbdb6a373d76da4ed943ba85ff316d8f2e850276,post_challenge,2025-11-16T04:05:13.670491,True,557.35,0
evt_0_22710,0x3b47711a83066567e99850eeb8598048ef66a2ad,heartbeat,2025-11-16T17:29:13.670491,True,199.53,0
evt_0_52486,0x81bdd2300211676d4aaa62fef59a4abcf5eb57b3,post_challenge,2025-11-16T15:08:13.670491,True,54.52,0
evt_0_11152,0x0c93151215d5166891b599221d037033edd3bd5d,heartbeat,2025-11-16T04:03:13.670491,True,645.56,0
evt_0_51845,0xdd9b595823abd41c9d8946691793e390039ce113,deal_created,2025-11-16T03:23:13.670491,True,644.65,25
evt_0_77089,0x885a395226bd2acd4052a6ee42502203a74a3253,post_challenge,2025-11-16T03:57:13.670491,True,172.9,0
evt_0_72459,0x46a952d3eab6324fe7d4d3b295d796845db9f5e7,heartbeat,2025-11-16T06:39:13.670491,True,234.2,0
evt_0_88325,0xa254661fa484bfac7bf4b71b9305f2b80d351406,post_challenge,2025-11-16T03:53:13.670491,False,198.03,0
evt_0_44614,0x2693189ea41a7c084efb7c78f3cd070a55a52307,post_challenge,2025-11-16T20:19:13.670491,False,51.85,0
evt_0_11657,0xb9442ab66e514c46947e41e93780208d30b24496,deal_created,2025-11-16T12:21:13.670491,True,92.84,59
evt_0_64671,0xc5de0d7aa351264b63047c8483ccb6f98f9b0e95,deal_created,2025-11-16T13:20:13.670491,True,304.83,77
evt_0_16234,0x48d68abf2a10b37a3cf49701c8a13e7a86ed74f5,deal_created,2025-11-16T01:50:13.670491,True,268.5,28
