iter	Logloss
0	0.6511251221
1	0.6154694214
2	0.5855366821
3	0.5630337524
4	0.5451427002
5	0.5305802002
6	0.5199860229
7	0.5113765869
8	0.5039594727
9	0.4978493958
10	0.4935993347
11	0.4899473877
12	0.4872097778
13	0.4840114136
14	0.4811781921
15	0.4782030945
16	0.4761421509
17	0.4746694336
18	0.4731781311
19	0.4715535889
20	0.4703840637
21	0.4684794922
22	0.4671091003
23	0.4658841858
24	0.4643878174
25	0.463094696
26	0.4623164673
27	0.4617524719
28	0.4612078857
29	0.4600881042
30	0.4594385986
31	0.4584835815
32	0.4579194336
33	0.4571950073
34	0.4560791626
35	0.4555202026
36	0.4545856628
37	0.453609314
38	0.4529511414
39	0.4524907227
40	0.4520605774
41	0.4517049561
42	0.4506621399
43	0.4497501831
44	0.4488911133
45	0.447684845
46	0.4465524902
47	0.4460536194
48	0.4456258545
49	0.4449757996
50	0.443677124
51	0.4428223267
52	0.4421114807
53	0.4411073608
54	0.4404974976
55	0.4398699951
56	0.439364624
57	0.4385167236
58	0.4380390625
59	0.4374780273
60	0.4370367432
61	0.436617157
62	0.43596875
63	0.4349167175
64	0.4347168274
65	0.4340318604
66	0.4336478271
67	0.4325269775
68	0.4320748901
69	0.4314765015
70	0.4306043701
71	0.4300939636
72	0.4292091064
73	0.4282539368
74	0.427925354
75	0.4273845215
76	0.4266119995
77	0.4258084717
78	0.4250299988
79	0.4244388733
80	0.4236508789
81	0.423053772
82	0.4225523682
83	0.4221303711
84	0.4216148071
85	0.4206679688
86	0.419453186
87	0.4186500244
88	0.4178163452
89	0.4172987061
90	0.4161644592
91	0.4153117065
92	0.4146890259
93	0.4139724731
94	0.4134845886
95	0.4127849121
96	0.4117857056
97	0.4113154907
98	0.410640625
99	0.409785553
